restaurant_id,name
91db9574-51f5-4767-ad6e-88ec05dc167c,Drinks
2bdf2d84-d67b-42e5-9002-cceb82aaea93,Boneless Wings
c8dee513-3ec8-475b-8ca3-7c65eeb36782,LUNCH ENTRÉES
e2e16bd5-fdcb-41b1-9b50-e76b4e5680ce,Cơm Dĩa (Steamed Rice Plates)
e2e16bd5-fdcb-41b1-9b50-e76b4e5680ce,Bún (Vermicelli)
9bc090f7-6aa7-45b0-8b35-6289021fdc2f,Over Rice
9bc090f7-6aa7-45b0-8b35-6289021fdc2f,Sliders & Fries
6a3f2902-d9fe-4f38-af4b-48c0c5b83e8c,Small Plates
0a53f061-ab7d-47fd-b6e9-9d672831040c,Milkshakes
0a53f061-ab7d-47fd-b6e9-9d672831040c,Fries
67741de2-1895-4737-add6-e74ce64ad884,Fresh Juice
67741de2-1895-4737-add6-e74ce64ad884,Smoothies
088bec67-270b-46be-bc69-05e7435d4091,Sides
088bec67-270b-46be-bc69-05e7435d4091,Drinks
dfd02647-7393-4dcf-812e-31bcc425977e,Beef Pho
0382237c-6348-4be3-917a-1911e448d6a4,The Burgers (1/2lb.)
5d6e417c-35de-46d1-830b-0309cb1b22ab,Pho - Beef Noodle Soup
5d6e417c-35de-46d1-830b-0309cb1b22ab,Noodles and Soup
5d6e417c-35de-46d1-830b-0309cb1b22ab,Vermicelli Noodle Bowls
5d6e417c-35de-46d1-830b-0309cb1b22ab,Rice Plates
5d6e417c-35de-46d1-830b-0309cb1b22ab,Fried Rice
5d6e417c-35de-46d1-830b-0309cb1b22ab,Vegetable & Tofu Dishes
5d6e417c-35de-46d1-830b-0309cb1b22ab,Family Style
5d6e417c-35de-46d1-830b-0309cb1b22ab,Stir-Fry Combinations
5d6e417c-35de-46d1-830b-0309cb1b22ab,Sides & Extras
5d6e417c-35de-46d1-830b-0309cb1b22ab,Smoothies
5d6e417c-35de-46d1-830b-0309cb1b22ab,Beverages
4c8851c7-daa2-4ad3-bd65-25bbff0bc1d0,Sandwiches
4c8851c7-daa2-4ad3-bd65-25bbff0bc1d0,Sandwich As A Salad
4c8851c7-daa2-4ad3-bd65-25bbff0bc1d0,Daily Specials
3a761237-de4a-4ea3-a734-17f076d48525,House-Ground Burgers
54ae7b7e-84f3-4c7e-9bda-de32d2b0d2a9,Sweets
f9fbc7eb-f8df-4078-bd18-d07ee38b91b1,Starters
757c11da-6f1d-4910-8cd5-4e966b9feabf,Desserts / Tatilar
67c6fa02-ce32-457e-b154-08451d751e0a,Appetizers
659421d8-118c-4277-8ade-6968fd43ae08,Lunch Appetizers
659421d8-118c-4277-8ade-6968fd43ae08,Lunch Soup & Salad
659421d8-118c-4277-8ade-6968fd43ae08,Lunch Chicken/Pork Combination
659421d8-118c-4277-8ade-6968fd43ae08,Lunch Beef Combination
659421d8-118c-4277-8ade-6968fd43ae08,Lunch Shrimp Combination
659421d8-118c-4277-8ade-6968fd43ae08,Lunch Deluxe Daily Platter
659421d8-118c-4277-8ade-6968fd43ae08,Lunch Veggies Combination
27807126-f6a7-4c5c-9522-28e93e046bce,To Start 
27807126-f6a7-4c5c-9522-28e93e046bce,Single Sides
27807126-f6a7-4c5c-9522-28e93e046bce,Build Your Own Family Meal
e1195eff-03e3-4878-b49b-2a378e5ea44c,Feast
5eb1bca1-6dbf-4120-9b82-bab498de9696,Chicken and Ribs
5eb1bca1-6dbf-4120-9b82-bab498de9696,Fresh Seafood
f9932228-1be9-400f-b772-521fc49f64bd,Cookies & Brownies
290b8f12-f9a0-4098-b9be-17475cc6b1e7,Bento Boxes
290b8f12-f9a0-4098-b9be-17475cc6b1e7,Sushi Combos
b5350fa7-bbc3-4143-af02-2efeb6435926,Sides
b5350fa7-bbc3-4143-af02-2efeb6435926,Entrees
b5350fa7-bbc3-4143-af02-2efeb6435926,Kids Menu
b5350fa7-bbc3-4143-af02-2efeb6435926,Lite Bites
b5350fa7-bbc3-4143-af02-2efeb6435926,Waffles
b5350fa7-bbc3-4143-af02-2efeb6435926,Mo' Better Bites
b5350fa7-bbc3-4143-af02-2efeb6435926,Starters
b5350fa7-bbc3-4143-af02-2efeb6435926,S.C.N. Sides
3393cfee-b8dd-46f7-b37c-43b7de33e9e9,Drinks
d0c8affa-6774-433d-924a-88fb1febaa6f,The Appetizers
d0c8affa-6774-433d-924a-88fb1febaa6f,The Burgers
d0c8affa-6774-433d-924a-88fb1febaa6f,The Entrees
d0c8affa-6774-433d-924a-88fb1febaa6f,Salads
df11692a-231f-4ee9-ab82-d385b8f8a918,Dessert
df11692a-231f-4ee9-ab82-d385b8f8a918,Special Menu
df11692a-231f-4ee9-ab82-d385b8f8a918,Side Orders
916e1d28-7849-4296-bf25-c36c91355669,Boiled Platters
00b968f3-113a-4452-a36f-f47924a118d4,Munchies
9f130eb8-28f5-423c-8c2b-f1f616337ffc,IHOPPY Hour
1f546eaa-7520-417b-af9b-45c317d4da5f,Snacks
144f77a1-bc03-44a8-937f-c5f5605af91d,Vegetarian 
144f77a1-bc03-44a8-937f-c5f5605af91d,Kids' Menu
38c3f434-7609-4d27-bbc4-bc954b55f085,Bento Box
ae171c37-7f89-410b-a339-8d4a5011556e,Beer
ae171c37-7f89-410b-a339-8d4a5011556e,Starter
ae171c37-7f89-410b-a339-8d4a5011556e,Sushi & Sashimi
ae171c37-7f89-410b-a339-8d4a5011556e,Special Rolls
ae171c37-7f89-410b-a339-8d4a5011556e,Maki Rolls
ae171c37-7f89-410b-a339-8d4a5011556e,House Specials
ae171c37-7f89-410b-a339-8d4a5011556e,"Sushi, Sashimi, & Roll Combo"
ae171c37-7f89-410b-a339-8d4a5011556e,Soup Salad
ae171c37-7f89-410b-a339-8d4a5011556e,Fryer/Grilled
ae171c37-7f89-410b-a339-8d4a5011556e,Rice/Noodle
ae171c37-7f89-410b-a339-8d4a5011556e,Bento Box
ae171c37-7f89-410b-a339-8d4a5011556e,Drinks
ae171c37-7f89-410b-a339-8d4a5011556e,Hand Rolls
ae171c37-7f89-410b-a339-8d4a5011556e,Sides
10810082-0318-413c-b2cb-e54e78a06752,Noodles
10810082-0318-413c-b2cb-e54e78a06752,Chef’s Specials
77b9776e-ffd8-465d-b903-6573a036d672,Everyday Brunch
77b9776e-ffd8-465d-b903-6573a036d672,New Snacks
77b9776e-ffd8-465d-b903-6573a036d672,Sandwiches
77b9776e-ffd8-465d-b903-6573a036d672,Soups/Sides
44dab6ad-09f2-4396-b606-8a25f6bf7913,Damn Good Tacos
44dab6ad-09f2-4396-b606-8a25f6bf7913,Not a Taco
84710d08-fbf9-49a1-8bc1-b4bbcf9e9c61,Desserts
84710d08-fbf9-49a1-8bc1-b4bbcf9e9c61,Breads
54cf27cb-6478-45b7-9240-d9eeb5e2e2ed,A La Carte
54cf27cb-6478-45b7-9240-d9eeb5e2e2ed,Add Ons
83e04ce0-cf0c-468a-9df3-242356ea4052,Beef
665d3fd9-1e5c-4ec1-ac77-ab00e73d1113,Beverages
40a9c14f-de49-4be8-9b74-8704710639f5,Vegetable
40a9c14f-de49-4be8-9b74-8704710639f5,Chicken (Pollo)
d3e2d381-59eb-4020-aeca-7b35bf81992f,Snacks & Veggies
d3e2d381-59eb-4020-aeca-7b35bf81992f,Desserts
afb244c7-86d0-460a-a49b-92f607cbc782,Superfood Oats
2c33f7ce-4a6b-4ee9-9913-bcf14fa154b0,Basic Hand Roll OR Cut Roll 
acc20b7e-b41e-4490-9396-d77eff8ce221,Refresqueria
e5a62d47-9b57-42d4-be58-f5fd53a22b51,Beef
8bc26029-0e62-4e1a-bad0-a5b3a7044d75,Family Pack Section
f49c86b0-11c6-412c-9434-fdb57ec41880,Sushi Roll
f49c86b0-11c6-412c-9434-fdb57ec41880,Soft Drink
9e34582b-97d5-4ccd-9886-ca297b848c35,Brunch For Lunch
b63e4b3f-834d-41d9-ac03-fa239bedd7be,Sides
b78c8fb8-b32a-4007-a0d6-337fdc7271f3,Drinks
679f124f-5760-4217-bc99-a0a9989a9a2d,Sandwiches 3Pd
ecdc7386-5b37-481a-9bf7-72ab88116d1d,Cupcakes
f7f23ba1-7f41-465e-99e4-462e3d6e52a8,Beverages
609528e3-0548-4423-8f3a-bdbcc67a0de8,Half Sandos
479342fc-ba3d-4b5b-8a08-fd0be971ab93,Favorites And Pop Ups
479342fc-ba3d-4b5b-8a08-fd0be971ab93,Click'S Scratch Made Desserts
479342fc-ba3d-4b5b-8a08-fd0be971ab93,Paulie'S Cookies
5570f889-7547-49c6-a809-8db85622a0a7,Bar Snacks
5570f889-7547-49c6-a809-8db85622a0a7,Pizzette
5570f889-7547-49c6-a809-8db85622a0a7,Salad
